model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features
PLSR,-663.2097,-908.2333,1810.0216,15.0434,3.2606,0.0400,0.0600,40.0000,Co_мг_кг,date1,hyper_idx,24
PLSR,0.0335,-0.1214,0.2761,2.4256,1.7570,1.0200,0.7400,59.0000,Cu_мг_кг,date1,cars_spa,6
SVR,0.0021,0.0195,0.1376,1.6469,1.1503,1.0000,1.0000,55.0000,Cu_мг_кг,date2,raw_smooth,300
RF,0.0018,-0.1436,0.2960,2.4651,1.8187,1.0000,0.7300,59.0000,Cu_мг_кг,date1,cars_spa,6
SVR,-0.0012,0.0269,0.1599,1.6496,1.1487,1.0000,0.9900,55.0000,Cu_мг_кг,date2,vip,98
ElasticNet,-0.0145,-0.0548,0.0346,1.6606,1.1952,0.9900,0.9900,55.0000,Cu_мг_кг,date2,hyper_idx,24
ElasticNet,-0.0169,-0.0607,0.0450,1.6625,1.2058,0.9900,0.9900,55.0000,Cu_мг_кг,date2,raw_smooth,300
ElasticNet,-0.0169,-0.0607,0.0450,1.6625,1.2058,0.9900,0.9900,55.0000,Cu_мг_кг,date2,pca_10,10
ElasticNet,-0.0169,-0.0607,0.0450,1.6625,1.2058,0.9900,0.9900,55.0000,Cu_мг_кг,date2,vip,98
ElasticNet,-0.0335,-0.0740,0.0289,1.6761,1.2166,0.9800,0.9800,55.0000,Cu_мг_кг,date2,deriv1_snv,300
ElasticNet,-0.0468,-0.1041,0.0915,2.5244,1.8511,0.9800,0.7100,59.0000,Cu_мг_кг,date1,hyper_idx,24
ElasticNet,-0.0498,-0.1128,0.0869,2.5280,1.8592,0.9800,0.7100,59.0000,Cu_мг_кг,date1,pca_10,10
ElasticNet,-0.0509,-0.1164,0.0812,2.5294,1.8628,0.9800,0.7100,59.0000,Cu_мг_кг,date1,cars_spa,6
ElasticNet,-0.0576,-0.1321,0.0811,2.5374,1.8684,0.9700,0.7100,59.0000,Cu_мг_кг,date1,raw_smooth,300
ElasticNet,-0.0576,-0.1321,0.0811,2.5374,1.8684,0.9700,0.7100,59.0000,Cu_мг_кг,date1,vip,61
ElasticNet,-0.0636,-0.1228,0.1114,2.5446,1.8991,0.9700,0.7100,59.0000,Cu_мг_кг,date1,deriv1_snv,300
SVR,-0.0696,-0.0512,0.2127,1.7051,1.1881,0.9700,0.9600,55.0000,Cu_мг_кг,date2,deriv1_snv,300
RF,-0.0811,-0.1210,0.2302,1.7142,1.1892,0.9600,0.9600,55.0000,Cu_мг_кг,date2,raw_smooth,300
SVR,-0.0914,-0.1986,0.1803,2.5776,1.6761,0.9600,0.7000,59.0000,Cu_мг_кг,date1,pca_10,10
SVR,-0.0983,-0.1982,0.1761,2.5858,1.6636,0.9500,0.6900,59.0000,Cu_мг_кг,date1,hyper_idx,24
SVR,-0.1124,-0.1958,0.1517,2.6024,1.6211,0.9500,0.6900,59.0000,Cu_мг_кг,date1,deriv1_snv,300
SVR,-0.1172,-0.1422,0.2721,1.7426,1.2341,0.9500,0.9400,55.0000,Cu_мг_кг,date2,hyper_idx,24
SVR,-0.1182,-0.0881,0.1930,1.7434,1.2155,0.9500,0.9400,55.0000,Cu_мг_кг,date2,pca_10,10
GBR,-0.1208,-0.1421,0.2412,1.7454,1.1432,0.9400,0.9400,55.0000,Cu_мг_кг,date2,raw_smooth,300
SVR,-0.1499,-0.2178,0.1724,2.6458,1.6961,0.9300,0.6800,59.0000,Cu_мг_кг,date1,vip,61
RF,-0.1671,-0.3240,0.3204,2.6655,2.0021,0.9300,0.6700,59.0000,Cu_мг_кг,date1,raw_smooth,300
RF,-0.1775,-0.3098,0.2897,2.6774,2.0211,0.9200,0.6700,59.0000,Cu_мг_кг,date1,vip,61
SVR,-0.1786,-0.2647,0.1209,2.6786,1.7817,0.9200,0.6700,59.0000,Cu_мг_кг,date1,cars_spa,6
RF,-0.1849,-0.4141,0.4672,2.6858,2.0213,0.9200,0.6700,59.0000,Cu_мг_кг,date1,pca_10,10
SVR,-0.1933,-0.2554,0.1802,2.6953,1.7113,0.9200,0.6700,59.0000,Cu_мг_кг,date1,raw_smooth,300
GBR,-0.2038,-0.3206,0.2210,2.7071,1.8814,0.9100,0.6600,59.0000,Cu_мг_кг,date1,cars_spa,6
RF,-0.2146,-0.2775,0.1377,1.8170,1.3209,0.9100,0.9000,55.0000,Cu_мг_кг,date2,deriv1_snv,300
XGBoost,-0.2299,-0.5604,0.8840,2.7363,1.9663,0.9000,0.6600,59.0000,Cu_мг_кг,date1,raw_smooth,300
RF,-0.2323,-0.3037,0.3039,1.8302,1.3284,0.9000,0.9000,55.0000,Cu_мг_кг,date2,pca_10,10
