feature,element,pearson_r,p_value,abs_r
Blue_w3_mean,N_%,0.2596,0.0102,0.2596
Blue_w3_mean,P_%,0.0967,0.3462,0.0967
Blue_w3_mean,K_%,0.1400,0.1715,0.1400
Blue_w3_mean,Ca_%,0.0656,0.5234,0.0656
Blue_w3_mean,Mg_%,0.0511,0.6191,0.0511
Blue_w3_mean,S_%,0.2058,0.0431,0.2058
Blue_w3_mean,Нитраты_мг_кг,-0.0241,0.8157,0.0241
Blue_w3_mean,Fe_мг_кг,0.2418,0.0170,0.2418
Blue_w3_mean,Mn_мг_кг,-0.1743,0.0877,0.1743
Blue_w3_mean,Cu_мг_кг,0.1151,0.2614,0.1151
Blue_w3_mean,Zn_мг_кг,0.1381,0.1772,0.1381
Blue_w3_mean,Co_мг_кг,0.2065,0.1685,0.2065
Blue_w3_std,N_%,0.0463,0.6524,0.0463
Blue_w3_std,P_%,0.0656,0.5231,0.0656
Blue_w3_std,K_%,0.0814,0.4279,0.0814
Blue_w3_std,Ca_%,-0.0904,0.3784,0.0904
Blue_w3_std,Mg_%,-0.0085,0.9340,0.0085
Blue_w3_std,S_%,0.0368,0.7207,0.0368
Blue_w3_std,Нитраты_мг_кг,-0.0325,0.7532,0.0325
Blue_w3_std,Fe_мг_кг,0.0759,0.4601,0.0759
Blue_w3_std,Mn_мг_кг,-0.0924,0.3680,0.0924
Blue_w3_std,Cu_мг_кг,0.0037,0.9715,0.0037
Blue_w3_std,Zn_мг_кг,0.0141,0.8909,0.0141
Blue_w3_std,Co_мг_кг,-0.0802,0.5962,0.0802
Blue_w3_median,N_%,0.2774,0.0059,0.2774
Blue_w3_median,P_%,0.1069,0.2974,0.1069
Blue_w3_median,K_%,0.1533,0.1338,0.1533
Blue_w3_median,Ca_%,0.0751,0.4645,0.0751
Blue_w3_median,Mg_%,0.0594,0.5635,0.0594
Blue_w3_median,S_%,0.2273,0.0251,0.2273
Blue_w3_median,Нитраты_мг_кг,-0.0108,0.9171,0.0108
Blue_w3_median,Fe_мг_кг,0.2485,0.0141,0.2485
Blue_w3_median,Mn_мг_кг,-0.1829,0.0729,0.1829
Blue_w3_median,Cu_мг_кг,0.1206,0.2394,0.1206
Blue_w3_median,Zn_мг_кг,0.1501,0.1422,0.1501
Blue_w3_median,Co_мг_кг,0.2178,0.1459,0.2178
Blue_w3_p25,N_%,0.2712,0.0072,0.2712
Blue_w3_p25,P_%,0.0943,0.3584,0.0943
Blue_w3_p25,K_%,0.1445,0.1580,0.1445
Blue_w3_p25,Ca_%,0.0710,0.4896,0.0710
Blue_w3_p25,Mg_%,0.0587,0.5680,0.0587
Blue_w3_p25,S_%,0.2155,0.0340,0.2155
Blue_w3_p25,Нитраты_мг_кг,-0.0133,0.8980,0.0133
Blue_w3_p25,Fe_мг_кг,0.2244,0.0271,0.2244
Blue_w3_p25,Mn_мг_кг,-0.1789,0.0795,0.1789
Blue_w3_p25,Cu_мг_кг,0.1198,0.2423,0.1198
Blue_w3_p25,Zn_мг_кг,0.1459,0.1539,0.1459
Blue_w3_p25,Co_мг_кг,0.2003,0.1819,0.2003
Blue_w3_p75,N_%,0.2484,0.0142,0.2484
Blue_w3_p75,P_%,0.0970,0.3446,0.0970
Blue_w3_p75,K_%,0.1418,0.1659,0.1418
Blue_w3_p75,Ca_%,0.0580,0.5728,0.0580
Blue_w3_p75,Mg_%,0.0403,0.6953,0.0403
Blue_w3_p75,S_%,0.1970,0.0531,0.1970
Blue_w3_p75,Нитраты_мг_кг,-0.0412,0.6901,0.0412
Blue_w3_p75,Fe_мг_кг,0.2405,0.0177,0.2405
Blue_w3_p75,Mn_мг_кг,-0.1725,0.0911,0.1725
Blue_w3_p75,Cu_мг_кг,0.1090,0.2880,0.1090
Blue_w3_p75,Zn_мг_кг,0.1240,0.2263,0.1240
Blue_w3_p75,Co_мг_кг,0.1810,0.2287,0.1810
Blue_w3_cv,N_%,-0.1308,0.2015,0.1308
Blue_w3_cv,P_%,0.0201,0.8454,0.0201
Blue_w3_cv,K_%,-0.0283,0.7835,0.0283
Blue_w3_cv,Ca_%,-0.1518,0.1378,0.1518
Blue_w3_cv,Mg_%,-0.0112,0.9132,0.0112
Blue_w3_cv,S_%,-0.0960,0.3497,0.0960
Blue_w3_cv,Нитраты_мг_кг,-0.0137,0.8945,0.0137
Blue_w3_cv,Fe_мг_кг,-0.1142,0.2654,0.1142
Blue_w3_cv,Mn_мг_кг,0.0102,0.9207,0.0102
Blue_w3_cv,Cu_мг_кг,-0.0270,0.7933,0.0270
Blue_w3_cv,Zn_мг_кг,-0.0376,0.7143,0.0376
