wl,idx,r,p,rho,n,element,prep
905.610000,243.000000,0.209446,0.108251,0.134938,60.000000,N_%,raw
907.840000,244.000000,0.221855,0.088449,0.144691,60.000000,N_%,raw
910.060000,245.000000,0.235379,0.070232,0.161836,60.000000,N_%,raw
912.280000,246.000000,0.242921,0.061457,0.168839,60.000000,N_%,raw
914.500000,247.000000,0.245501,0.058666,0.178314,60.000000,N_%,raw
916.730000,248.000000,0.241599,0.062928,0.185428,60.000000,N_%,raw
918.950000,249.000000,0.232422,0.073934,0.173785,60.000000,N_%,raw
921.180000,250.000000,0.221536,0.088920,0.178731,60.000000,N_%,raw
923.400000,251.000000,0.210600,0.106277,0.168450,60.000000,N_%,raw
925.630000,252.000000,0.197399,0.130585,0.161753,60.000000,N_%,raw
927.860000,253.000000,0.184671,0.157790,0.156973,60.000000,N_%,raw
930.090000,254.000000,0.175175,0.180656,0.156612,60.000000,N_%,raw
932.320000,255.000000,0.167850,0.199867,0.142385,60.000000,N_%,raw
934.550000,256.000000,0.166292,0.204134,0.134048,60.000000,N_%,raw
936.780000,257.000000,0.172951,0.186343,0.129797,60.000000,N_%,raw
939.010000,258.000000,0.178424,0.172577,0.116959,60.000000,N_%,raw
941.240000,259.000000,0.186384,0.153902,0.130603,60.000000,N_%,raw
943.480000,260.000000,0.193604,0.138296,0.129658,60.000000,N_%,raw
945.710000,261.000000,0.198590,0.128233,0.144941,60.000000,N_%,raw
947.950000,262.000000,0.202311,0.121092,0.156001,60.000000,N_%,raw
950.180000,263.000000,0.211135,0.105371,0.160947,60.000000,N_%,raw
952.420000,264.000000,0.216606,0.096448,0.170534,60.000000,N_%,raw
954.660000,265.000000,0.222468,0.087551,0.179009,60.000000,N_%,raw
956.900000,266.000000,0.232283,0.074112,0.181149,60.000000,N_%,raw
959.140000,267.000000,0.235733,0.069799,0.192292,60.000000,N_%,raw
961.380000,268.000000,0.241700,0.062814,0.184205,60.000000,N_%,raw
963.620000,269.000000,0.248599,0.055452,0.205352,60.000000,N_%,raw
965.860000,270.000000,0.245471,0.058698,0.203435,60.000000,N_%,raw
968.100000,271.000000,0.242041,0.062432,0.205880,60.000000,N_%,raw
970.350000,272.000000,0.238782,0.066156,0.213660,60.000000,N_%,raw
972.590000,273.000000,0.239432,0.065399,0.214883,60.000000,N_%,raw
974.840000,274.000000,0.237354,0.067842,0.195265,60.000000,N_%,raw
977.080000,275.000000,0.237654,0.067485,0.169061,60.000000,N_%,raw
979.330000,276.000000,0.236167,0.069271,0.167838,60.000000,N_%,raw
981.580000,277.000000,0.234621,0.071167,0.153000,60.000000,N_%,raw
983.820000,278.000000,0.236824,0.068477,0.140384,60.000000,N_%,raw
986.070000,279.000000,0.236588,0.068762,0.156501,60.000000,N_%,raw
988.320000,280.000000,0.232996,0.073203,0.137049,60.000000,N_%,raw
990.570000,281.000000,0.229413,0.077860,0.141607,60.000000,N_%,raw
992.830000,282.000000,0.221324,0.089234,0.135077,60.000000,N_%,raw
995.080000,283.000000,0.216060,0.097311,0.142913,60.000000,N_%,raw
997.330000,284.000000,0.210171,0.107007,0.141051,60.000000,N_%,raw
999.590000,285.000000,0.213397,0.101607,0.162197,60.000000,N_%,raw
1001.840000,286.000000,0.223558,0.085970,0.184261,60.000000,N_%,raw
1004.100000,287.000000,0.237444,0.067736,0.201239,60.000000,N_%,raw
1006.350000,288.000000,0.248770,0.055278,0.224637,60.000000,N_%,raw
1008.610000,289.000000,0.261629,0.043461,0.260594,60.000000,N_%,raw
1010.870000,290.000000,0.275986,0.032806,0.288938,60.000000,N_%,raw
1013.130000,291.000000,0.286946,0.026223,0.302109,60.000000,N_%,raw
1015.390000,292.000000,0.290854,0.024163,0.305860,60.000000,N_%,raw
1017.650000,293.000000,0.290945,0.024116,0.288521,60.000000,N_%,raw
1019.910000,294.000000,0.284132,0.027797,0.249757,60.000000,N_%,raw
1022.170000,295.000000,0.275534,0.033104,0.237502,60.000000,N_%,raw
1024.430000,296.000000,0.258873,0.045800,0.216995,60.000000,N_%,raw
1026.700000,297.000000,0.229315,0.077990,0.181288,60.000000,N_%,raw
1028.960000,298.000000,0.186319,0.154049,0.136827,60.000000,N_%,raw
1031.230000,299.000000,0.136984,0.296632,0.087031,60.000000,N_%,raw
390.040000,0.000000,0.060079,0.648395,0.033781,60.000000,P_%,raw
392.070000,1.000000,0.062489,0.635269,0.015666,60.000000,P_%,raw
394.090000,2.000000,0.061903,0.638455,0.004981,60.000000,P_%,raw
396.120000,3.000000,0.059847,0.649665,0.000083,60.000000,P_%,raw
398.140000,4.000000,0.057047,0.665059,0.007680,60.000000,P_%,raw
400.170000,5.000000,0.053820,0.682970,-0.003896,60.000000,P_%,raw
402.200000,6.000000,0.050172,0.703429,-0.006150,60.000000,P_%,raw
404.220000,7.000000,0.044979,0.732913,-0.009183,60.000000,P_%,raw
406.250000,8.000000,0.040789,0.756994,-0.026018,60.000000,P_%,raw
408.280000,9.000000,0.037209,0.777748,-0.023792,60.000000,P_%,raw
410.310000,10.000000,0.034288,0.794802,-0.025378,60.000000,P_%,raw
412.350000,11.000000,0.031946,0.808538,-0.032334,60.000000,P_%,raw
414.380000,12.000000,0.030313,0.818159,-0.035284,60.000000,P_%,raw
416.410000,13.000000,0.029300,0.824138,-0.032279,60.000000,P_%,raw
418.450000,14.000000,0.028392,0.829500,-0.028021,60.000000,P_%,raw
420.480000,15.000000,0.029066,0.825518,-0.026658,60.000000,P_%,raw
422.520000,16.000000,0.030485,0.817144,-0.037315,60.000000,P_%,raw
424.550000,17.000000,0.032342,0.806215,-0.028745,60.000000,P_%,raw
426.590000,18.000000,0.035504,0.787687,-0.025266,60.000000,P_%,raw
428.630000,19.000000,0.038715,0.769000,-0.018393,60.000000,P_%,raw
430.670000,20.000000,0.042926,0.744685,-0.004897,60.000000,P_%,raw
432.710000,21.000000,0.047598,0.717992,0.001586,60.000000,P_%,raw
434.750000,22.000000,0.050891,0.699380,0.005983,60.000000,P_%,raw
436.790000,23.000000,0.053745,0.683386,0.007541,60.000000,P_%,raw
438.830000,24.000000,0.055333,0.674550,0.007263,60.000000,P_%,raw
440.870000,25.000000,0.056425,0.668496,0.018477,60.000000,P_%,raw
442.920000,26.000000,0.056125,0.670156,0.024459,60.000000,P_%,raw
444.960000,27.000000,0.056546,0.667824,0.030720,60.000000,P_%,raw
447.010000,28.000000,0.056703,0.666961,0.032000,60.000000,P_%,raw
449.050000,29.000000,0.056884,0.665956,0.031166,60.000000,P_%,raw
451.100000,30.000000,0.057610,0.661953,0.035868,60.000000,P_%,raw
453.150000,31.000000,0.058502,0.657041,0.032585,60.000000,P_%,raw
455.200000,32.000000,0.059055,0.654003,0.028049,60.000000,P_%,raw
457.250000,33.000000,0.060225,0.647599,0.033336,60.000000,P_%,raw
459.300000,34.000000,0.060130,0.648115,0.035395,60.000000,P_%,raw
461.350000,35.000000,0.059784,0.650011,0.035980,60.000000,P_%,raw
463.400000,36.000000,0.058969,0.654476,0.038122,60.000000,P_%,raw
465.450000,37.000000,0.059211,0.653146,0.041768,60.000000,P_%,raw
467.500000,38.000000,0.059105,0.653728,0.042742,60.000000,P_%,raw
469.560000,39.000000,0.059605,0.650988,0.040766,60.000000,P_%,raw
471.610000,40.000000,0.059816,0.649833,0.047082,60.000000,P_%,raw
473.670000,41.000000,0.059732,0.650291,0.044578,60.000000,P_%,raw
475.730000,42.000000,0.059622,0.650897,0.038762,60.000000,P_%,raw
477.780000,43.000000,0.059457,0.651802,0.038707,60.000000,P_%,raw
479.840000,44.000000,0.059099,0.653762,0.036814,60.000000,P_%,raw
481.900000,45.000000,0.059244,0.652966,0.043326,60.000000,P_%,raw
483.960000,46.000000,0.059287,0.652729,0.043075,60.000000,P_%,raw
486.020000,47.000000,0.059648,0.650754,0.048335,60.000000,P_%,raw
488.080000,48.000000,0.060312,0.647124,0.052203,60.000000,P_%,raw
490.150000,49.000000,0.062104,0.637359,0.049448,60.000000,P_%,raw
492.210000,50.000000,0.062807,0.633549,0.045608,60.000000,P_%,raw
494.270000,51.000000,0.063187,0.631492,0.039430,60.000000,P_%,raw
496.340000,52.000000,0.063422,0.630219,0.040209,60.000000,P_%,raw
498.400000,53.000000,0.063522,0.629682,0.036731,60.000000,P_%,raw
50047.000000,54.000000,0.064300,0.625484,0.045775,60.000000,P_%,raw
502.540000,55.000000,0.064840,0.622576,0.041684,60.000000,P_%,raw
504.610000,56.000000,0.066350,0.614479,0.049169,60.000000,P_%,raw
506.680000,57.000000,0.067702,0.607266,0.061024,60.000000,P_%,raw
508.740000,58.000000,0.069505,0.597708,0.053956,60.000000,P_%,raw
510.820000,59.000000,0.071640,0.586478,0.053260,60.000000,P_%,raw
512.890000,60.000000,0.073747,0.575488,0.063556,60.000000,P_%,raw
514.960000,61.000000,0.075954,0.564080,0.069121,60.000000,P_%,raw
517.030000,62.000000,0.076931,0.559060,0.067479,60.000000,P_%,raw
519.110000,63.000000,0.077735,0.554950,0.066422,60.000000,P_%,raw
521.180000,64.000000,0.078616,0.550458,0.070958,60.000000,P_%,raw
523.260000,65.000000,0.079429,0.546334,0.067841,60.000000,P_%,raw
